Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Santiago-EOAS";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"24/09/2023";"Temperatura media  atura a 1.5m";"16.33";"1";"ºC"
"25/09/2023";"Lluvia";"0.0";"1";"L/m2"
"25/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"25/09/2023";"Temperatura media  atura a 1.5m";"19.53";"1";"ºC"
"26/09/2023";"Lluvia";"0.0";"1";"L/m2"
"26/09/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"26/09/2023";"Temperatura media  atura a 1.5m";"18.68";"1";"ºC"
"27/09/2023";"Lluvia";"0.0";"1";"L/m2"
"27/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"27/09/2023";"Temperatura media  atura a 1.5m";"17.72";"1";"ºC"
"28/09/2023";"Lluvia";"0.7";"1";"L/m2"
"28/09/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"28/09/2023";"Temperatura media  atura a 1.5m";"18.71";"1";"ºC"
"29/09/2023";"Lluvia";"0.0";"1";"L/m2"
"29/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"29/09/2023";"Temperatura media  atura a 1.5m";"21.68";"1";"ºC"
"30/09/2023";"Lluvia";"0.0";"1";"L/m2"
"30/09/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"30/09/2023";"Temperatura media  atura a 1.5m";"22.34";"1";"ºC"
"01/10/2023";"Lluvia";"0.0";"1";"L/m2"
"01/10/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"01/10/2023";"Temperatura media  atura a 1.5m";"21.91";"1";"ºC"
"02/10/2023";"Lluvia";"0.0";"1";"L/m2"
"02/10/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"02/10/2023";"Temperatura media  atura a 1.5m";"18.99";"1";"ºC"
"03/10/2023";"Lluvia";"0.0";"1";"L/m2"
"03/10/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"03/10/2023";"Temperatura media  atura a 1.5m";"17.50";"1";"ºC"
"04/10/2023";"Lluvia";"0.0";"1";"L/m2"
"04/10/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"04/10/2023";"Temperatura media  atura a 1.5m";"18.91";"1";"ºC"
"05/10/2023";"Lluvia";"0.0";"1";"L/m2"
"05/10/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"05/10/2023";"Temperatura media  atura a 1.5m";"16.19";"1";"ºC"
"06/10/2023";"Lluvia";"0.0";"1";"L/m2"
"06/10/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"06/10/2023";"Temperatura media  atura a 1.5m";"19.95";"1";"ºC"
"07/10/2023";"Lluvia";"0.0";"1";"L/m2"
"07/10/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"07/10/2023";"Temperatura media  atura a 1.5m";"22.96";"1";"ºC"
"08/10/2023";"Lluvia";"0.0";"1";"L/m2"
"08/10/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"08/10/2023";"Temperatura media  atura a 1.5m";"21.05";"1";"ºC"
"09/10/2023";"Lluvia";"0.0";"1";"L/m2"
"09/10/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"09/10/2023";"Temperatura media  atura a 1.5m";"21.50";"1";"ºC"
"10/10/2023";"Lluvia";"0.0";"1";"L/m2"
"10/10/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"10/10/2023";"Temperatura media  atura a 1.5m";"20.93";"1";"ºC"
"11/10/2023";"Lluvia";"0.0";"1";"L/m2"
"11/10/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"11/10/2023";"Temperatura media  atura a 1.5m";"19.38";"1";"ºC"
"12/10/2023";"Lluvia";"0.0";"1";"L/m2"
"12/10/2023";"Humedad relativa media a 1.5m";"54";"1";"%"
"12/10/2023";"Temperatura media  atura a 1.5m";"20.68";"1";"ºC"
"13/10/2023";"Lluvia";"33.5";"1";"L/m2"
"13/10/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"13/10/2023";"Temperatura media  atura a 1.5m";"17.81";"1";"ºC"
"14/10/2023";"Lluvia";"0.0";"1";"L/m2"
"14/10/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"14/10/2023";"Temperatura media  atura a 1.5m";"16.06";"1";"ºC"
"15/10/2023";"Lluvia";"6.9";"1";"L/m2"
"15/10/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"15/10/2023";"Temperatura media  atura a 1.5m";"15.30";"1";"ºC"
"16/10/2023";"Lluvia";"7.3";"1";"L/m2"
"16/10/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"16/10/2023";"Temperatura media  atura a 1.5m";"17.66";"1";"ºC"
"17/10/2023";"Lluvia";"31.0";"1";"L/m2"
"17/10/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"17/10/2023";"Temperatura media  atura a 1.5m";"18.95";"1";"ºC"
"18/10/2023";"Lluvia";"36.9";"1";"L/m2"
"18/10/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"18/10/2023";"Temperatura media  atura a 1.5m";"16.27";"1";"ºC"
"19/10/2023";"Lluvia";"55.7";"1";"L/m2"
"19/10/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"19/10/2023";"Temperatura media  atura a 1.5m";"14.60";"1";"ºC"
"20/10/2023";"Lluvia";"7.3";"1";"L/m2"
"20/10/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"20/10/2023";"Temperatura media  atura a 1.5m";"12.21";"1";"ºC"
"21/10/2023";"Lluvia";"5.4";"1";"L/m2"
"21/10/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"21/10/2023";"Temperatura media  atura a 1.5m";"11.56";"1";"ºC"
"22/10/2023";"Lluvia";"2.8";"1";"L/m2"
"22/10/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"22/10/2023";"Temperatura media  atura a 1.5m";"11.56";"1";"ºC"
"23/10/2023";"Lluvia";"4.7";"1";"L/m2"
"23/10/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"23/10/2023";"Temperatura media  atura a 1.5m";"12.02";"1";"ºC"
"24/10/2023";"Lluvia";"12.5";"1";"L/m2"
"24/10/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"24/10/2023";"Temperatura media  atura a 1.5m";"14.30";"1";"ºC"
"25/10/2023";"Lluvia";"19.5";"1";"L/m2"
"25/10/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"25/10/2023";"Temperatura media  atura a 1.5m";"16.53";"1";"ºC"
"26/10/2023";"Lluvia";"63.1";"1";"L/m2"
"26/10/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"26/10/2023";"Temperatura media  atura a 1.5m";"14.57";"1";"ºC"
"27/10/2023";"Lluvia";"17.5";"1";"L/m2"
"27/10/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"27/10/2023";"Temperatura media  atura a 1.5m";"13.14";"1";"ºC"
"28/10/2023";"Lluvia";"52.8";"1";"L/m2"
"28/10/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"28/10/2023";"Temperatura media  atura a 1.5m";"14.12";"1";"ºC"
"29/10/2023";"Lluvia";"13.1";"1";"L/m2"
"29/10/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"29/10/2023";"Temperatura media  atura a 1.5m";"11.64";"1";"ºC"
"30/10/2023";"Lluvia";"8.7";"1";"L/m2"
"30/10/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"30/10/2023";"Temperatura media  atura a 1.5m";"11.67";"1";"ºC"
"31/10/2023";"Lluvia";"23.6";"1";"L/m2"
"31/10/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"31/10/2023";"Temperatura media  atura a 1.5m";"13.10";"1";"ºC"
"01/11/2023";"Lluvia";"52.8";"1";"L/m2"
"01/11/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"01/11/2023";"Temperatura media  atura a 1.5m";"13.55";"1";"ºC"
"02/11/2023";"Lluvia";"9.8";"1";"L/m2"
"02/11/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"02/11/2023";"Temperatura media  atura a 1.5m";"10.57";"1";"ºC"
"03/11/2023";"Lluvia";"17.4";"1";"L/m2"
"03/11/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"03/11/2023";"Temperatura media  atura a 1.5m";"11.57";"1";"ºC"
"04/11/2023";"Lluvia";"45.0";"1";"L/m2"
"04/11/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"04/11/2023";"Temperatura media  atura a 1.5m";"12.98";"1";"ºC"
"05/11/2023";"Lluvia";"13.7";"1";"L/m2"
"05/11/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"05/11/2023";"Temperatura media  atura a 1.5m";"10.36";"1";"ºC"
"06/11/2023";"Lluvia";"5.7";"1";"L/m2"
"06/11/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"06/11/2023";"Temperatura media  atura a 1.5m";"8.67";"1";"ºC"
"07/11/2023";"Lluvia";"6.2";"1";"L/m2"
"07/11/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"07/11/2023";"Temperatura media  atura a 1.5m";"10.28";"1";"ºC"
"08/11/2023";"Lluvia";"18.0";"1";"L/m2"
"08/11/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"08/11/2023";"Temperatura media  atura a 1.5m";"12.04";"1";"ºC"
"09/11/2023";"Lluvia";"3.3";"1";"L/m2"
"09/11/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"09/11/2023";"Temperatura media  atura a 1.5m";"10.79";"1";"ºC"
"10/11/2023";"Lluvia";"13.1";"1";"L/m2"
"10/11/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"10/11/2023";"Temperatura media  atura a 1.5m";"12.70";"1";"ºC"
"11/11/2023";"Lluvia";"18.2";"1";"L/m2"
"11/11/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"11/11/2023";"Temperatura media  atura a 1.5m";"15.90";"1";"ºC"
"12/11/2023";"Lluvia";"6.3";"1";"L/m2"
"12/11/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"12/11/2023";"Temperatura media  atura a 1.5m";"16.19";"1";"ºC"
"13/11/2023";"Lluvia";"37.3";"1";"L/m2"
"13/11/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"13/11/2023";"Temperatura media  atura a 1.5m";"16.89";"1";"ºC"
"14/11/2023";"Lluvia";"33.9";"1";"L/m2"
"14/11/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"14/11/2023";"Temperatura media  atura a 1.5m";"15.48";"1";"ºC"
"15/11/2023";"Lluvia";"5.8";"1";"L/m2"
"15/11/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"15/11/2023";"Temperatura media  atura a 1.5m";"14.79";"1";"ºC"
"16/11/2023";"Lluvia";"6.5";"1";"L/m2"
"16/11/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"16/11/2023";"Temperatura media  atura a 1.5m";"14.81";"1";"ºC"
"17/11/2023";"Lluvia";"0.0";"1";"L/m2"
"17/11/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"17/11/2023";"Temperatura media  atura a 1.5m";"11.87";"1";"ºC"
"18/11/2023";"Lluvia";"0.0";"1";"L/m2"
"18/11/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"18/11/2023";"Temperatura media  atura a 1.5m";"15.17";"1";"ºC"
"19/11/2023";"Lluvia";"0.0";"1";"L/m2"
"19/11/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"19/11/2023";"Temperatura media  atura a 1.5m";"15.31";"1";"ºC"
"20/11/2023";"Lluvia";"0.0";"1";"L/m2"
"20/11/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"20/11/2023";"Temperatura media  atura a 1.5m";"12.48";"1";"ºC"
"21/11/2023";"Lluvia";"0.0";"1";"L/m2"
"21/11/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"21/11/2023";"Temperatura media  atura a 1.5m";"9.64";"1";"ºC"
"22/11/2023";"Lluvia";"0.0";"1";"L/m2"
"22/11/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"22/11/2023";"Temperatura media  atura a 1.5m";"10.49";"1";"ºC"
"23/11/2023";"Lluvia";"0.0";"1";"L/m2"
"23/11/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"23/11/2023";"Temperatura media  atura a 1.5m";"11.35";"1";"ºC"
"24/11/2023";"Lluvia";"0.0";"1";"L/m2"
"24/11/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"24/11/2023";"Temperatura media  atura a 1.5m";"9.69";"1";"ºC"
"25/11/2023";"Lluvia";"0.0";"1";"L/m2"
"25/11/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"25/11/2023";"Temperatura media  atura a 1.5m";"8.20";"1";"ºC"
"26/11/2023";"Lluvia";"0.0";"1";"L/m2"
"26/11/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"26/11/2023";"Temperatura media  atura a 1.5m";"9.70";"1";"ºC"
"27/11/2023";"Lluvia";"1.8";"1";"L/m2"
"27/11/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"27/11/2023";"Temperatura media  atura a 1.5m";"11.95";"1";"ºC"
"28/11/2023";"Lluvia";"7.7";"1";"L/m2"
"28/11/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"28/11/2023";"Temperatura media  atura a 1.5m";"12.75";"1";"ºC"
"29/11/2023";"Lluvia";"20.1";"1";"L/m2"
"29/11/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"29/11/2023";"Temperatura media  atura a 1.5m";"14.23";"1";"ºC"
"30/11/2023";"Lluvia";"3.6";"1";"L/m2"
"30/11/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"30/11/2023";"Temperatura media  atura a 1.5m";"8.48";"1";"ºC"
"01/12/2023";"Lluvia";"3.2";"1";"L/m2"
"01/12/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"01/12/2023";"Temperatura media  atura a 1.5m";"7.06";"1";"ºC"
"02/12/2023";"Lluvia";"0.0";"1";"L/m2"
"02/12/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"02/12/2023";"Temperatura media  atura a 1.5m";"7.12";"1";"ºC"
"03/12/2023";"Lluvia";"30.6";"1";"L/m2"
"03/12/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"03/12/2023";"Temperatura media  atura a 1.5m";"9.50";"1";"ºC"
"04/12/2023";"Lluvia";"5.5";"1";"L/m2"
"04/12/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"04/12/2023";"Temperatura media  atura a 1.5m";"9.15";"1";"ºC"
"05/12/2023";"Lluvia";"0.0";"1";"L/m2"
"05/12/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"05/12/2023";"Temperatura media  atura a 1.5m";"5.10";"1";"ºC"
"06/12/2023";"Lluvia";"1.9";"1";"L/m2"
"06/12/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"06/12/2023";"Temperatura media  atura a 1.5m";"6.17";"1";"ºC"
"07/12/2023";"Lluvia";"56.0";"1";"L/m2"
"07/12/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"07/12/2023";"Temperatura media  atura a 1.5m";"12.34";"1";"ºC"
"08/12/2023";"Lluvia";"8.9";"1";"L/m2"
"08/12/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"08/12/2023";"Temperatura media  atura a 1.5m";"9.97";"1";"ºC"
"09/12/2023";"Lluvia";"18.3";"1";"L/m2"
"09/12/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"09/12/2023";"Temperatura media  atura a 1.5m";"15.02";"1";"ºC"
"10/12/2023";"Lluvia";"13.7";"1";"L/m2"
"10/12/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"10/12/2023";"Temperatura media  atura a 1.5m";"15.45";"1";"ºC"
"11/12/2023";"Lluvia";"9.9";"1";"L/m2"
"11/12/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"11/12/2023";"Temperatura media  atura a 1.5m";"15.34";"1";"ºC"
"12/12/2023";"Lluvia";"33.5";"1";"L/m2"
"12/12/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"12/12/2023";"Temperatura media  atura a 1.5m";"11.89";"1";"ºC"
"13/12/2023";"Lluvia";"5.6";"1";"L/m2"
"13/12/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"13/12/2023";"Temperatura media  atura a 1.5m";"8.67";"1";"ºC"
"14/12/2023";"Lluvia";"0.0";"1";"L/m2"
"14/12/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"14/12/2023";"Temperatura media  atura a 1.5m";"8.34";"1";"ºC"
"15/12/2023";"Lluvia";"0.0";"1";"L/m2"
"15/12/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"15/12/2023";"Temperatura media  atura a 1.5m";"9.85";"1";"ºC"
"16/12/2023";"Lluvia";"0.0";"1";"L/m2"
"16/12/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"16/12/2023";"Temperatura media  atura a 1.5m";"8.23";"1";"ºC"
"17/12/2023";"Lluvia";"0.0";"1";"L/m2"
"17/12/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"17/12/2023";"Temperatura media  atura a 1.5m";"5.55";"1";"ºC"
"18/12/2023";"Lluvia";"0.0";"1";"L/m2"
"18/12/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"18/12/2023";"Temperatura media  atura a 1.5m";"4.45";"1";"ºC"
"19/12/2023";"Lluvia";"3.3";"1";"L/m2"
"19/12/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"19/12/2023";"Temperatura media  atura a 1.5m";"6.53";"1";"ºC"
"20/12/2023";"Lluvia";"0.0";"1";"L/m2"
"20/12/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"20/12/2023";"Temperatura media  atura a 1.5m";"9.55";"1";"ºC"
"21/12/2023";"Lluvia";"1.0";"1";"L/m2"
"21/12/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"21/12/2023";"Temperatura media  atura a 1.5m";"9.69";"1";"ºC"
"22/12/2023";"Lluvia";"0.0";"1";"L/m2"
"22/12/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"22/12/2023";"Temperatura media  atura a 1.5m";"9.70";"1";"ºC"
"23/12/2023";"Lluvia";"0.0";"1";"L/m2"
"23/12/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"23/12/2023";"Temperatura media  atura a 1.5m";"9.59";"1";"ºC"
"24/12/2023";"Lluvia";"0.0";"1";"L/m2"
"24/12/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"24/12/2023";"Temperatura media  atura a 1.5m";"8.02";"1";"ºC"
"25/12/2023";"Lluvia";"0.0";"1";"L/m2"
"25/12/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"25/12/2023";"Temperatura media  atura a 1.5m";"5.95";"1";"ºC"
"26/12/2023";"Lluvia";"0.0";"1";"L/m2"
"26/12/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"26/12/2023";"Temperatura media  atura a 1.5m";"9.96";"1";"ºC"
"27/12/2023";"Lluvia";"15.7";"1";"L/m2"
"27/12/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"27/12/2023";"Temperatura media  atura a 1.5m";"12.17";"1";"ºC"
"28/12/2023";"Lluvia";"17.0";"1";"L/m2"
"28/12/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"28/12/2023";"Temperatura media  atura a 1.5m";"11.14";"1";"ºC"
"29/12/2023";"Lluvia";"1.6";"1";"L/m2"
"29/12/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"29/12/2023";"Temperatura media  atura a 1.5m";"9.29";"1";"ºC"
"30/12/2023";"Lluvia";"19.3";"1";"L/m2"
"30/12/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"30/12/2023";"Temperatura media  atura a 1.5m";"9.11";"1";"ºC"
"31/12/2023";"Lluvia";"2.4";"1";"L/m2"
"31/12/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"31/12/2023";"Temperatura media  atura a 1.5m";"8.68";"1";"ºC"
"01/01/2024";"Lluvia";"0.4";"1";"L/m2"
"01/01/2024";"Humedad relativa media a 1.5m";"85";"1";"%"
"01/01/2024";"Temperatura media  atura a 1.5m";"9.29";"1";"ºC"
"02/01/2024";"Lluvia";"44.1";"1";"L/m2"
"02/01/2024";"Humedad relativa media a 1.5m";"93";"1";"%"
"02/01/2024";"Temperatura media  atura a 1.5m";"12.77";"1";"ºC"
"03/01/2024";"Lluvia";"0.0";"1";"L/m2"
"03/01/2024";"Humedad relativa media a 1.5m";"84";"1";"%"
"03/01/2024";"Temperatura media  atura a 1.5m";"12.05";"1";"ºC"
"04/01/2024";"Lluvia";"10.9";"1";"L/m2"
"04/01/2024";"Humedad relativa media a 1.5m";"91";"1";"%"
"04/01/2024";"Temperatura media  atura a 1.5m";"9.67";"1";"ºC"
"05/01/2024";"Lluvia";"5.6";"1";"L/m2"
"05/01/2024";"Humedad relativa media a 1.5m";"95";"1";"%"
"05/01/2024";"Temperatura media  atura a 1.5m";"6.27";"1";"ºC"
"06/01/2024";"Lluvia";"0.0";"1";"L/m2"
"06/01/2024";"Humedad relativa media a 1.5m";"94";"1";"%"
"06/01/2024";"Temperatura media  atura a 1.5m";"5.48";"1";"ºC"
"07/01/2024";"Lluvia";"0.0";"1";"L/m2"
"07/01/2024";"Humedad relativa media a 1.5m";"85";"1";"%"
"07/01/2024";"Temperatura media  atura a 1.5m";"5.15";"1";"ºC"
"08/01/2024";"Lluvia";"2.0";"1";"L/m2"
"08/01/2024";"Humedad relativa media a 1.5m";"91";"1";"%"
"08/01/2024";"Temperatura media  atura a 1.5m";"3.40";"1";"ºC"
"09/01/2024";"Lluvia";"5.0";"1";"L/m2"
"09/01/2024";"Humedad relativa media a 1.5m";"95";"1";"%"
"09/01/2024";"Temperatura media  atura a 1.5m";"5.04";"1";"ºC"
"10/01/2024";"Lluvia";"6.3";"1";"L/m2"
"10/01/2024";"Humedad relativa media a 1.5m";"97";"1";"%"
"10/01/2024";"Temperatura media  atura a 1.5m";"7.43";"1";"ºC"
"11/01/2024";"Lluvia";"0.0";"1";"L/m2"
"11/01/2024";"Humedad relativa media a 1.5m";"83";"1";"%"
"11/01/2024";"Temperatura media  atura a 1.5m";"5.19";"1";"ºC"
"12/01/2024";"Lluvia";"0.0";"1";"L/m2"
"12/01/2024";"Humedad relativa media a 1.5m";"70";"1";"%"
"12/01/2024";"Temperatura media  atura a 1.5m";"5.06";"1";"ºC"
"13/01/2024";"Lluvia";"5.3";"1";"L/m2"
"13/01/2024";"Humedad relativa media a 1.5m";"83";"1";"%"
"13/01/2024";"Temperatura media  atura a 1.5m";"9.86";"1";"ºC"
"14/01/2024";"Lluvia";"30.9";"1";"L/m2"
"14/01/2024";"Humedad relativa media a 1.5m";"98";"1";"%"
"14/01/2024";"Temperatura media  atura a 1.5m";"12.74";"1";"ºC"
"15/01/2024";"Lluvia";"11.7";"1";"L/m2"
"15/01/2024";"Humedad relativa media a 1.5m";"97";"1";"%"
"15/01/2024";"Temperatura media  atura a 1.5m";"13.84";"1";"ºC"
"16/01/2024";"Lluvia";"20.7";"1";"L/m2"
"16/01/2024";"Humedad relativa media a 1.5m";"90";"1";"%"
"16/01/2024";"Temperatura media  atura a 1.5m";"14.16";"1";"ºC"
"17/01/2024";"Lluvia";"53.7";"1";"L/m2"
"17/01/2024";"Humedad relativa media a 1.5m";"92";"1";"%"
"17/01/2024";"Temperatura media  atura a 1.5m";"12.68";"1";"ºC"
"18/01/2024";"Lluvia";"10.2";"1";"L/m2"
"18/01/2024";"Humedad relativa media a 1.5m";"90";"1";"%"
"18/01/2024";"Temperatura media  atura a 1.5m";"9.70";"1";"ºC"
"19/01/2024";"Lluvia";"0.0";"1";"L/m2"
"19/01/2024";"Humedad relativa media a 1.5m";"73";"1";"%"
"19/01/2024";"Temperatura media  atura a 1.5m";"6.83";"1";"ºC"
"20/01/2024";"Lluvia";"0.0";"1";"L/m2"
"20/01/2024";"Humedad relativa media a 1.5m";"75";"1";"%"
"20/01/2024";"Temperatura media  atura a 1.5m";"5.18";"1";"ºC"
"21/01/2024";"Lluvia";"1.6";"1";"L/m2"
"21/01/2024";"Humedad relativa media a 1.5m";"91";"1";"%"
"21/01/2024";"Temperatura media  atura a 1.5m";"9.57";"1";"ºC"
"22/01/2024";"Lluvia";"5.2";"1";"L/m2"
"22/01/2024";"Humedad relativa media a 1.5m";"98";"1";"%"
"22/01/2024";"Temperatura media  atura a 1.5m";"12.91";"1";"ºC"
"23/01/2024";"Lluvia";"2.1";"1";"L/m2"
"23/01/2024";"Humedad relativa media a 1.5m";"97";"1";"%"
"23/01/2024";"Temperatura media  atura a 1.5m";"13.57";"1";"ºC"
"24/01/2024";"Lluvia";"0.0";"1";"L/m2"
"24/01/2024";"Humedad relativa media a 1.5m";"84";"1";"%"
"24/01/2024";"Temperatura media  atura a 1.5m";"14.13";"1";"ºC"
"25/01/2024";"Lluvia";"0.0";"1";"L/m2"
"25/01/2024";"Humedad relativa media a 1.5m";"85";"1";"%"
"25/01/2024";"Temperatura media  atura a 1.5m";"13.35";"1";"ºC"
"26/01/2024";"Lluvia";"0.0";"1";"L/m2"
"26/01/2024";"Humedad relativa media a 1.5m";"85";"1";"%"
"26/01/2024";"Temperatura media  atura a 1.5m";"11.12";"1";"ºC"
"27/01/2024";"Lluvia";"0.0";"1";"L/m2"
"27/01/2024";"Humedad relativa media a 1.5m";"69";"1";"%"
"27/01/2024";"Temperatura media  atura a 1.5m";"13.27";"1";"ºC"
"28/01/2024";"Lluvia";"0.0";"1";"L/m2"
"28/01/2024";"Humedad relativa media a 1.5m";"72";"1";"%"
"28/01/2024";"Temperatura media  atura a 1.5m";"13.35";"1";"ºC"
"29/01/2024";"Lluvia";"0.0";"1";"L/m2"
"29/01/2024";"Humedad relativa media a 1.5m";"70";"1";"%"
"29/01/2024";"Temperatura media  atura a 1.5m";"14.34";"1";"ºC"
"30/01/2024";"Lluvia";"0.0";"1";"L/m2"
"30/01/2024";"Humedad relativa media a 1.5m";"84";"1";"%"
"30/01/2024";"Temperatura media  atura a 1.5m";"12.78";"1";"ºC"
"31/01/2024";"Lluvia";"0.0";"1";"L/m2"
"31/01/2024";"Humedad relativa media a 1.5m";"80";"1";"%"
"31/01/2024";"Temperatura media  atura a 1.5m";"12.26";"1";"ºC"
"01/02/2024";"Lluvia";"0.0";"1";"L/m2"
"01/02/2024";"Humedad relativa media a 1.5m";"83";"1";"%"
"01/02/2024";"Temperatura media  atura a 1.5m";"11.42";"1";"ºC"
"02/02/2024";"Lluvia";"0.0";"1";"L/m2"
"02/02/2024";"Humedad relativa media a 1.5m";"75";"1";"%"
"02/02/2024";"Temperatura media  atura a 1.5m";"11.77";"1";"ºC"
"03/02/2024";"Lluvia";"0.0";"1";"L/m2"
"03/02/2024";"Humedad relativa media a 1.5m";"75";"1";"%"
"03/02/2024";"Temperatura media  atura a 1.5m";"11.85";"1";"ºC"
"04/02/2024";"Lluvia";"0.0";"1";"L/m2"
"04/02/2024";"Humedad relativa media a 1.5m";"80";"1";"%"
"04/02/2024";"Temperatura media  atura a 1.5m";"11.58";"1";"ºC"
"05/02/2024";"Lluvia";"0.0";"1";"L/m2"
"05/02/2024";"Humedad relativa media a 1.5m";"86";"1";"%"
"05/02/2024";"Temperatura media  atura a 1.5m";"10.48";"1";"ºC"
"06/02/2024";"Lluvia";"0.0";"1";"L/m2"
"06/02/2024";"Humedad relativa media a 1.5m";"90";"1";"%"
