Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Santiago-EOAS";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"15/02/2023";"Lluvia";"0.0";"1";"L/m2"
"15/02/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"15/02/2023";"Temperatura media  atura a 1.5m";"11.35";"1";"ºC"
"16/02/2023";"Lluvia";"0.0";"1";"L/m2"
"16/02/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"16/02/2023";"Temperatura media  atura a 1.5m";"10.67";"1";"ºC"
"17/02/2023";"Lluvia";"0.0";"1";"L/m2"
"17/02/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"17/02/2023";"Temperatura media  atura a 1.5m";"12.72";"1";"ºC"
"18/02/2023";"Lluvia";"0.0";"1";"L/m2"
"18/02/2023";"Humedad relativa media a 1.5m";"60";"1";"%"
"18/02/2023";"Temperatura media  atura a 1.5m";"12.95";"1";"ºC"
"19/02/2023";"Lluvia";"0.0";"1";"L/m2"
"19/02/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"19/02/2023";"Temperatura media  atura a 1.5m";"11.87";"1";"ºC"
"20/02/2023";"Lluvia";"0.0";"1";"L/m2"
"20/02/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"20/02/2023";"Temperatura media  atura a 1.5m";"12.69";"1";"ºC"
"21/02/2023";"Lluvia";"4.7";"1";"L/m2"
"21/02/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"21/02/2023";"Temperatura media  atura a 1.5m";"11.62";"1";"ºC"
"22/02/2023";"Lluvia";"3.6";"1";"L/m2"
"22/02/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"22/02/2023";"Temperatura media  atura a 1.5m";"8.82";"1";"ºC"
"23/02/2023";"Lluvia";"12.4";"1";"L/m2"
"23/02/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"23/02/2023";"Temperatura media  atura a 1.5m";"4.17";"1";"ºC"
"24/02/2023";"Lluvia";"1.4";"1";"L/m2"
"24/02/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"24/02/2023";"Temperatura media  atura a 1.5m";"4.10";"1";"ºC"
"25/02/2023";"Lluvia";"2.2";"1";"L/m2"
"25/02/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"25/02/2023";"Temperatura media  atura a 1.5m";"5.59";"1";"ºC"
"26/02/2023";"Lluvia";"0.0";"1";"L/m2"
"26/02/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"26/02/2023";"Temperatura media  atura a 1.5m";"6.57";"1";"ºC"
"27/02/2023";"Lluvia";"0.0";"1";"L/m2"
"27/02/2023";"Humedad relativa media a 1.5m";"56";"1";"%"
"27/02/2023";"Temperatura media  atura a 1.5m";"5.43";"1";"ºC"
"28/02/2023";"Lluvia";"0.0";"1";"L/m2"
"28/02/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"28/02/2023";"Temperatura media  atura a 1.5m";"5.24";"1";"ºC"
"01/03/2023";"Lluvia";"0.0";"1";"L/m2"
"01/03/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"01/03/2023";"Temperatura media  atura a 1.5m";"4.80";"1";"ºC"
"02/03/2023";"Lluvia";"0.0";"1";"L/m2"
