Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Ourense";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"06/03/2023";"Lluvia";"2.8";"1";"L/m2"
"06/03/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"06/03/2023";"Temperatura media  atura a 1.5m";"10.77";"1";"ºC"
"07/03/2023";"Lluvia";"0.0";"1";"L/m2"
"07/03/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"07/03/2023";"Temperatura media  atura a 1.5m";"13.47";"1";"ºC"
"08/03/2023";"Lluvia";"8.8";"1";"L/m2"
"08/03/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"08/03/2023";"Temperatura media  atura a 1.5m";"14.93";"1";"ºC"
"09/03/2023";"Lluvia";"3.6";"1";"L/m2"
"09/03/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"09/03/2023";"Temperatura media  atura a 1.5m";"13.52";"1";"ºC"
"10/03/2023";"Lluvia";"0.4";"1";"L/m2"
"10/03/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"10/03/2023";"Temperatura media  atura a 1.5m";"15.88";"1";"ºC"
"11/03/2023";"Lluvia";"0.0";"1";"L/m2"
"11/03/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"11/03/2023";"Temperatura media  atura a 1.5m";"16.33";"1";"ºC"
"12/03/2023";"Lluvia";"0.0";"1";"L/m2"
"12/03/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"12/03/2023";"Temperatura media  atura a 1.5m";"16.16";"1";"ºC"
"13/03/2023";"Lluvia";"4.2";"1";"L/m2"
"13/03/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"13/03/2023";"Temperatura media  atura a 1.5m";"12.98";"1";"ºC"
"14/03/2023";"Lluvia";"0.0";"1";"L/m2"
"14/03/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"14/03/2023";"Temperatura media  atura a 1.5m";"10.86";"1";"ºC"
"15/03/2023";"Lluvia";"0.0";"1";"L/m2"
"15/03/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"15/03/2023";"Temperatura media  atura a 1.5m";"12.33";"1";"ºC"
"16/03/2023";"Lluvia";"3.6";"1";"L/m2"
"16/03/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"16/03/2023";"Temperatura media  atura a 1.5m";"11.65";"1";"ºC"
"17/03/2023";"Lluvia";"7.6";"1";"L/m2"
"17/03/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"17/03/2023";"Temperatura media  atura a 1.5m";"11.46";"1";"ºC"
"18/03/2023";"Lluvia";"1.0";"1";"L/m2"
"18/03/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"18/03/2023";"Temperatura media  atura a 1.5m";"13.29";"1";"ºC"
"19/03/2023";"Lluvia";"0.0";"1";"L/m2"
"19/03/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"19/03/2023";"Temperatura media  atura a 1.5m";"12.25";"1";"ºC"
"20/03/2023";"Lluvia";"0.0";"1";"L/m2"
"20/03/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
