Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Campus Lugo";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"01/03/2023";"Lluvia";"2.4";"1";"L/m2"
"01/03/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"01/03/2023";"Temperatura media  atura a 1.5m";"2.30";"1";"ºC"
"02/03/2023";"Lluvia";"0.0";"1";"L/m2"
"02/03/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"02/03/2023";"Temperatura media  atura a 1.5m";"3.11";"1";"ºC"
"03/03/2023";"Lluvia";"0.0";"1";"L/m2"
"03/03/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"03/03/2023";"Temperatura media  atura a 1.5m";"3.67";"1";"ºC"
"04/03/2023";"Lluvia";"0.0";"1";"L/m2"
"04/03/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"04/03/2023";"Temperatura media  atura a 1.5m";"4.59";"1";"ºC"
"05/03/2023";"Lluvia";"0.0";"1";"L/m2"
"05/03/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"05/03/2023";"Temperatura media  atura a 1.5m";"5.41";"1";"ºC"
"06/03/2023";"Lluvia";"2.1";"1";"L/m2"
"06/03/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"06/03/2023";"Temperatura media  atura a 1.5m";"8.40";"1";"ºC"
"07/03/2023";"Lluvia";"0.8";"1";"L/m2"
"07/03/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"07/03/2023";"Temperatura media  atura a 1.5m";"11.15";"1";"ºC"
"08/03/2023";"Lluvia";"18.6";"1";"L/m2"
"08/03/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"08/03/2023";"Temperatura media  atura a 1.5m";"13.31";"1";"ºC"
"09/03/2023";"Lluvia";"6.1";"1";"L/m2"
"09/03/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"09/03/2023";"Temperatura media  atura a 1.5m";"11.94";"1";"ºC"
"10/03/2023";"Lluvia";"0.0";"1";"L/m2"
"10/03/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"10/03/2023";"Temperatura media  atura a 1.5m";"13.39";"1";"ºC"
"11/03/2023";"Lluvia";"3.3";"1";"L/m2"
"11/03/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"11/03/2023";"Temperatura media  atura a 1.5m";"13.77";"1";"ºC"
"12/03/2023";"Lluvia";"0.0";"1";"L/m2"
"12/03/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"12/03/2023";"Temperatura media  atura a 1.5m";"14.45";"1";"ºC"
"13/03/2023";"Lluvia";"7.0";"1";"L/m2"
"13/03/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"13/03/2023";"Temperatura media  atura a 1.5m";"11.14";"1";"ºC"
"14/03/2023";"Lluvia";"0.0";"1";"L/m2"
"14/03/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"14/03/2023";"Temperatura media  atura a 1.5m";"9.63";"1";"ºC"
"15/03/2023";"Lluvia";"0.0";"1";"L/m2"
"15/03/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"15/03/2023";"Temperatura media  atura a 1.5m";"11.60";"1";"ºC"
"16/03/2023";"Lluvia";"4.4";"1";"L/m2"
"16/03/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"16/03/2023";"Temperatura media  atura a 1.5m";"10.65";"1";"ºC"
"17/03/2023";"Lluvia";"8.3";"1";"L/m2"
"17/03/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"17/03/2023";"Temperatura media  atura a 1.5m";"9.71";"1";"ºC"
"18/03/2023";"Lluvia";"2.4";"1";"L/m2"
"18/03/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"18/03/2023";"Temperatura media  atura a 1.5m";"10.60";"1";"ºC"
"19/03/2023";"Lluvia";"0.0";"1";"L/m2"
"19/03/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"19/03/2023";"Temperatura media  atura a 1.5m";"11.49";"1";"ºC"
"20/03/2023";"Lluvia";"0.0";"1";"L/m2"
"20/03/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"20/03/2023";"Temperatura media  atura a 1.5m";"11.81";"1";"ºC"
"21/03/2023";"Lluvia";"0.0";"1";"L/m2"
"21/03/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"21/03/2023";"Temperatura media  atura a 1.5m";"12.57";"1";"ºC"
"22/03/2023";"Lluvia";"0.0";"1";"L/m2"
"22/03/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"22/03/2023";"Temperatura media  atura a 1.5m";"11.50";"1";"ºC"
"23/03/2023";"Lluvia";"11.2";"1";"L/m2"
"23/03/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"23/03/2023";"Temperatura media  atura a 1.5m";"13.09";"1";"ºC"
"24/03/2023";"Lluvia";"0.8";"1";"L/m2"
"24/03/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"24/03/2023";"Temperatura media  atura a 1.5m";"10.99";"1";"ºC"
"25/03/2023";"Lluvia";"3.0";"1";"L/m2"
"25/03/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"25/03/2023";"Temperatura media  atura a 1.5m";"9.17";"1";"ºC"
"26/03/2023";"Lluvia";"0.0";"1";"L/m2"
"26/03/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"26/03/2023";"Temperatura media  atura a 1.5m";"10.38";"1";"ºC"
"27/03/2023";"Lluvia";"0.0";"1";"L/m2"
"27/03/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"27/03/2023";"Temperatura media  atura a 1.5m";"9.83";"1";"ºC"
"28/03/2023";"Lluvia";"0.0";"1";"L/m2"
"28/03/2023";"Humedad relativa media a 1.5m";"53";"1";"%"
"28/03/2023";"Temperatura media  atura a 1.5m";"15.22";"1";"ºC"
"29/03/2023";"Lluvia";"0.5";"1";"L/m2"
"29/03/2023";"Humedad relativa media a 1.5m";"53";"1";"%"
"29/03/2023";"Temperatura media  atura a 1.5m";"16.29";"1";"ºC"
"30/03/2023";"Lluvia";"0.6";"1";"L/m2"
"30/03/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"30/03/2023";"Temperatura media  atura a 1.5m";"14.28";"1";"ºC"
"31/03/2023";"Lluvia";"0.0";"1";"L/m2"
"31/03/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"31/03/2023";"Temperatura media  atura a 1.5m";"12.51";"1";"ºC"
"01/04/2023";"Lluvia";"1.8";"1";"L/m2"
"01/04/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"01/04/2023";"Temperatura media  atura a 1.5m";"10.28";"1";"ºC"
"02/04/2023";"Lluvia";"0.0";"1";"L/m2"
"02/04/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"02/04/2023";"Temperatura media  atura a 1.5m";"8.02";"1";"ºC"
"03/04/2023";"Lluvia";"0.0";"1";"L/m2"
"03/04/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"03/04/2023";"Temperatura media  atura a 1.5m";"9.18";"1";"ºC"
"04/04/2023";"Lluvia";"0.0";"1";"L/m2"
"04/04/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"04/04/2023";"Temperatura media  atura a 1.5m";"10.48";"1";"ºC"
"05/04/2023";"Lluvia";"0.0";"1";"L/m2"
"05/04/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"05/04/2023";"Temperatura media  atura a 1.5m";"10.00";"1";"ºC"
"06/04/2023";"Lluvia";"0.0";"1";"L/m2"
"06/04/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"06/04/2023";"Temperatura media  atura a 1.5m";"10.46";"1";"ºC"
