Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Campus Lugo";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"25/09/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"25/09/2023";"Temperatura media  atura a 1.5m";"16.25";"1";"ºC"
"26/09/2023";"Lluvia";"0.0";"1";"L/m2"
"26/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"26/09/2023";"Temperatura media  atura a 1.5m";"18.62";"1";"ºC"
"27/09/2023";"Lluvia";"0.0";"1";"L/m2"
"27/09/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"27/09/2023";"Temperatura media  atura a 1.5m";"18.26";"1";"ºC"
"28/09/2023";"Lluvia";"0.0";"1";"L/m2"
"28/09/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"28/09/2023";"Temperatura media  atura a 1.5m";"19.06";"1";"ºC"
"29/09/2023";"Lluvia";"0.0";"1";"L/m2"
"29/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"29/09/2023";"Temperatura media  atura a 1.5m";"19.83";"1";"ºC"
"30/09/2023";"Lluvia";"0.0";"1";"L/m2"
"30/09/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"30/09/2023";"Temperatura media  atura a 1.5m";"21.51";"1";"ºC"
"01/10/2023";"Lluvia";"0.0";"1";"L/m2"
"01/10/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"01/10/2023";"Temperatura media  atura a 1.5m";"21.14";"1";"ºC"
"02/10/2023";"Lluvia";"0.0";"1";"L/m2"
"02/10/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"02/10/2023";"Temperatura media  atura a 1.5m";"19.06";"1";"ºC"
"03/10/2023";"Lluvia";"0.0";"1";"L/m2"
"03/10/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"03/10/2023";"Temperatura media  atura a 1.5m";"16.14";"1";"ºC"
"04/10/2023";"Lluvia";"0.0";"1";"L/m2"
"04/10/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"04/10/2023";"Temperatura media  atura a 1.5m";"17.97";"1";"ºC"
"05/10/2023";"Lluvia";"0.0";"1";"L/m2"
"05/10/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"05/10/2023";"Temperatura media  atura a 1.5m";"18.67";"1";"ºC"
"06/10/2023";"Lluvia";"0.0";"1";"L/m2"
"06/10/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"06/10/2023";"Temperatura media  atura a 1.5m";"18.23";"1";"ºC"
"07/10/2023";"Lluvia";"0.0";"1";"L/m2"
"07/10/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"07/10/2023";"Temperatura media  atura a 1.5m";"19.50";"1";"ºC"
"08/10/2023";"Lluvia";"0.0";"1";"L/m2"
"08/10/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"08/10/2023";"Temperatura media  atura a 1.5m";"18.64";"1";"ºC"
"09/10/2023";"Lluvia";"0.0";"1";"L/m2"
"09/10/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"09/10/2023";"Temperatura media  atura a 1.5m";"18.74";"1";"ºC"
"10/10/2023";"Lluvia";"0.0";"1";"L/m2"
"10/10/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"10/10/2023";"Temperatura media  atura a 1.5m";"17.60";"1";"ºC"
"11/10/2023";"Lluvia";"0.0";"1";"L/m2"
"11/10/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"11/10/2023";"Temperatura media  atura a 1.5m";"17.71";"1";"ºC"
"12/10/2023";"Lluvia";"0.0";"1";"L/m2"
"12/10/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"12/10/2023";"Temperatura media  atura a 1.5m";"19.16";"1";"ºC"
"13/10/2023";"Lluvia";"4.2";"1";"L/m2"
"13/10/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"13/10/2023";"Temperatura media  atura a 1.5m";"17.60";"1";"ºC"
"14/10/2023";"Lluvia";"0.0";"1";"L/m2"
"14/10/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"14/10/2023";"Temperatura media  atura a 1.5m";"15.45";"1";"ºC"
"15/10/2023";"Lluvia";"5.6";"1";"L/m2"
"15/10/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"15/10/2023";"Temperatura media  atura a 1.5m";"13.64";"1";"ºC"
"16/10/2023";"Lluvia";"1.1";"1";"L/m2"
"16/10/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"16/10/2023";"Temperatura media  atura a 1.5m";"16.24";"1";"ºC"
"17/10/2023";"Lluvia";"8.0";"1";"L/m2"
"17/10/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"17/10/2023";"Temperatura media  atura a 1.5m";"19.89";"1";"ºC"
"18/10/2023";"Lluvia";"11.4";"1";"L/m2"
"18/10/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"18/10/2023";"Temperatura media  atura a 1.5m";"15.64";"1";"ºC"
"19/10/2023";"Lluvia";"40.3";"1";"L/m2"
"19/10/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"19/10/2023";"Temperatura media  atura a 1.5m";"13.66";"1";"ºC"
"20/10/2023";"Lluvia";"22.8";"1";"L/m2"
"20/10/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"20/10/2023";"Temperatura media  atura a 1.5m";"10.96";"1";"ºC"
"21/10/2023";"Lluvia";"0.9";"1";"L/m2"
"21/10/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"21/10/2023";"Temperatura media  atura a 1.5m";"10.07";"1";"ºC"
"22/10/2023";"Lluvia";"0.6";"1";"L/m2"
"22/10/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"22/10/2023";"Temperatura media  atura a 1.5m";"11.56";"1";"ºC"
"23/10/2023";"Lluvia";"7.5";"1";"L/m2"
"23/10/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"23/10/2023";"Temperatura media  atura a 1.5m";"10.99";"1";"ºC"
"24/10/2023";"Lluvia";"6.4";"1";"L/m2"
"24/10/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"24/10/2023";"Temperatura media  atura a 1.5m";"12.28";"1";"ºC"
"25/10/2023";"Lluvia";"11.8";"1";"L/m2"
"25/10/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"25/10/2023";"Temperatura media  atura a 1.5m";"15.41";"1";"ºC"
"26/10/2023";"Lluvia";"48.0";"1";"L/m2"
"26/10/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"26/10/2023";"Temperatura media  atura a 1.5m";"13.51";"1";"ºC"
"27/10/2023";"Lluvia";"20.4";"1";"L/m2"
"27/10/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"27/10/2023";"Temperatura media  atura a 1.5m";"11.82";"1";"ºC"
"28/10/2023";"Lluvia";"28.9";"1";"L/m2"
"28/10/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"28/10/2023";"Temperatura media  atura a 1.5m";"12.81";"1";"ºC"
"29/10/2023";"Lluvia";"7.2";"1";"L/m2"
"29/10/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"29/10/2023";"Temperatura media  atura a 1.5m";"10.90";"1";"ºC"
"30/10/2023";"Lluvia";"5.9";"1";"L/m2"
"30/10/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"30/10/2023";"Temperatura media  atura a 1.5m";"9.96";"1";"ºC"
"31/10/2023";"Lluvia";"2.7";"1";"L/m2"
"31/10/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"31/10/2023";"Temperatura media  atura a 1.5m";"11.51";"1";"ºC"
"01/11/2023";"Lluvia";"27.7";"1";"L/m2"
"01/11/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"01/11/2023";"Temperatura media  atura a 1.5m";"12.50";"1";"ºC"
"02/11/2023";"Lluvia";"17.2";"1";"L/m2"
"02/11/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"02/11/2023";"Temperatura media  atura a 1.5m";"9.07";"1";"ºC"
"03/11/2023";"Lluvia";"8.8";"1";"L/m2"
"03/11/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"03/11/2023";"Temperatura media  atura a 1.5m";"9.80";"1";"ºC"
"04/11/2023";"Lluvia";"24.8";"1";"L/m2"
"04/11/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"04/11/2023";"Temperatura media  atura a 1.5m";"12.00";"1";"ºC"
"05/11/2023";"Lluvia";"13.2";"1";"L/m2"
"05/11/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"05/11/2023";"Temperatura media  atura a 1.5m";"9.38";"1";"ºC"
"06/11/2023";"Lluvia";"2.3";"1";"L/m2"
"06/11/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"06/11/2023";"Temperatura media  atura a 1.5m";"6.43";"1";"ºC"
"07/11/2023";"Lluvia";"5.3";"1";"L/m2"
"07/11/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"07/11/2023";"Temperatura media  atura a 1.5m";"8.33";"1";"ºC"
"08/11/2023";"Lluvia";"12.1";"1";"L/m2"
"08/11/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"08/11/2023";"Temperatura media  atura a 1.5m";"10.77";"1";"ºC"
"09/11/2023";"Lluvia";"2.4";"1";"L/m2"
"09/11/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"09/11/2023";"Temperatura media  atura a 1.5m";"9.82";"1";"ºC"
"10/11/2023";"Lluvia";"15.7";"1";"L/m2"
"10/11/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"10/11/2023";"Temperatura media  atura a 1.5m";"11.07";"1";"ºC"
"11/11/2023";"Lluvia";"5.9";"1";"L/m2"
"11/11/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"11/11/2023";"Temperatura media  atura a 1.5m";"15.45";"1";"ºC"
"12/11/2023";"Lluvia";"0.0";"1";"L/m2"
"12/11/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"12/11/2023";"Temperatura media  atura a 1.5m";"15.47";"1";"ºC"
"13/11/2023";"Lluvia";"0.9";"1";"L/m2"
"13/11/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"13/11/2023";"Temperatura media  atura a 1.5m";"16.98";"1";"ºC"
"14/11/2023";"Lluvia";"12.8";"1";"L/m2"
"14/11/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"14/11/2023";"Temperatura media  atura a 1.5m";"14.76";"1";"ºC"
"15/11/2023";"Lluvia";"1.4";"1";"L/m2"
"15/11/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"15/11/2023";"Temperatura media  atura a 1.5m";"14.67";"1";"ºC"
"16/11/2023";"Lluvia";"7.7";"1";"L/m2"
"16/11/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"16/11/2023";"Temperatura media  atura a 1.5m";"14.42";"1";"ºC"
"17/11/2023";"Lluvia";"0.0";"1";"L/m2"
"17/11/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"17/11/2023";"Temperatura media  atura a 1.5m";"12.76";"1";"ºC"
"18/11/2023";"Lluvia";"0.0";"1";"L/m2"
"18/11/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"18/11/2023";"Temperatura media  atura a 1.5m";"11.58";"1";"ºC"
"19/11/2023";"Lluvia";"0.0";"1";"L/m2"
"19/11/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"19/11/2023";"Temperatura media  atura a 1.5m";"11.41";"1";"ºC"
"20/11/2023";"Lluvia";"0.0";"1";"L/m2"
"20/11/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"20/11/2023";"Temperatura media  atura a 1.5m";"11.11";"1";"ºC"
"21/11/2023";"Lluvia";"1.7";"1";"L/m2"
"21/11/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"21/11/2023";"Temperatura media  atura a 1.5m";"7.81";"1";"ºC"
"22/11/2023";"Lluvia";"0.5";"1";"L/m2"
"22/11/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"22/11/2023";"Temperatura media  atura a 1.5m";"9.43";"1";"ºC"
"23/11/2023";"Lluvia";"0.0";"1";"L/m2"
"23/11/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"23/11/2023";"Temperatura media  atura a 1.5m";"8.79";"1";"ºC"
"24/11/2023";"Lluvia";"0.0";"1";"L/m2"
"24/11/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"24/11/2023";"Temperatura media  atura a 1.5m";"5.62";"1";"ºC"
"25/11/2023";"Lluvia";"0.0";"1";"L/m2"
"25/11/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"25/11/2023";"Temperatura media  atura a 1.5m";"6.31";"1";"ºC"
"26/11/2023";"Lluvia";"0.0";"1";"L/m2"
"26/11/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"26/11/2023";"Temperatura media  atura a 1.5m";"5.47";"1";"ºC"
"27/11/2023";"Lluvia";"1.9";"1";"L/m2"
"27/11/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"27/11/2023";"Temperatura media  atura a 1.5m";"10.36";"1";"ºC"
"28/11/2023";"Lluvia";"7.1";"1";"L/m2"
"28/11/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"28/11/2023";"Temperatura media  atura a 1.5m";"11.75";"1";"ºC"
"29/11/2023";"Lluvia";"13.8";"1";"L/m2"
"29/11/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"29/11/2023";"Temperatura media  atura a 1.5m";"13.29";"1";"ºC"
"30/11/2023";"Lluvia";"7.7";"1";"L/m2"
"30/11/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"30/11/2023";"Temperatura media  atura a 1.5m";"7.37";"1";"ºC"
"01/12/2023";"Lluvia";"4.1";"1";"L/m2"
"01/12/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"01/12/2023";"Temperatura media  atura a 1.5m";"6.18";"1";"ºC"
"02/12/2023";"Lluvia";"0.7";"1";"L/m2"
"02/12/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"02/12/2023";"Temperatura media  atura a 1.5m";"5.82";"1";"ºC"
"03/12/2023";"Lluvia";"14.1";"1";"L/m2"
"03/12/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"03/12/2023";"Temperatura media  atura a 1.5m";"6.44";"1";"ºC"
"04/12/2023";"Lluvia";"4.6";"1";"L/m2"
"04/12/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"04/12/2023";"Temperatura media  atura a 1.5m";"7.61";"1";"ºC"
"05/12/2023";"Lluvia";"0.0";"1";"L/m2"
"05/12/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"05/12/2023";"Temperatura media  atura a 1.5m";"3.11";"1";"ºC"
"06/12/2023";"Lluvia";"0.0";"1";"L/m2"
"06/12/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"06/12/2023";"Temperatura media  atura a 1.5m";"3.95";"1";"ºC"
"07/12/2023";"Lluvia";"28.7";"1";"L/m2"
"07/12/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"07/12/2023";"Temperatura media  atura a 1.5m";"9.72";"1";"ºC"
"08/12/2023";"Lluvia";"1.6";"1";"L/m2"
"08/12/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"08/12/2023";"Temperatura media  atura a 1.5m";"8.56";"1";"ºC"
"09/12/2023";"Lluvia";"3.9";"1";"L/m2"
"09/12/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"09/12/2023";"Temperatura media  atura a 1.5m";"13.52";"1";"ºC"
"10/12/2023";"Lluvia";"1.9";"1";"L/m2"
"10/12/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"10/12/2023";"Temperatura media  atura a 1.5m";"14.91";"1";"ºC"
"11/12/2023";"Lluvia";"1.4";"1";"L/m2"
"11/12/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"11/12/2023";"Temperatura media  atura a 1.5m";"14.22";"1";"ºC"
"12/12/2023";"Lluvia";"18.2";"5";"L/m2"
"12/12/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"12/12/2023";"Temperatura media  atura a 1.5m";"11.18";"1";"ºC"
"13/12/2023";"Lluvia";"6.6";"5";"L/m2"
"13/12/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"13/12/2023";"Temperatura media  atura a 1.5m";"7.86";"1";"ºC"
"14/12/2023";"Lluvia";"0.0";"1";"L/m2"
"14/12/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"14/12/2023";"Temperatura media  atura a 1.5m";"6.81";"1";"ºC"
"15/12/2023";"Lluvia";"0.3";"1";"L/m2"
"15/12/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"15/12/2023";"Temperatura media  atura a 1.5m";"4.74";"1";"ºC"
"16/12/2023";"Lluvia";"0.3";"1";"L/m2"
"16/12/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"16/12/2023";"Temperatura media  atura a 1.5m";"3.33";"1";"ºC"
"17/12/2023";"Lluvia";"0.0";"1";"L/m2"
"17/12/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"17/12/2023";"Temperatura media  atura a 1.5m";"1.76";"1";"ºC"
"18/12/2023";"Lluvia";"0.0";"1";"L/m2"
"18/12/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"18/12/2023";"Temperatura media  atura a 1.5m";"0.81";"1";"ºC"
"19/12/2023";"Lluvia";"5.0";"1";"L/m2"
"19/12/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"19/12/2023";"Temperatura media  atura a 1.5m";"0.91";"1";"ºC"
"20/12/2023";"Lluvia";"0.5";"1";"L/m2"
"20/12/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"20/12/2023";"Temperatura media  atura a 1.5m";"6.71";"1";"ºC"
"21/12/2023";"Lluvia";"0.4";"1";"L/m2"
"21/12/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"21/12/2023";"Temperatura media  atura a 1.5m";"7.72";"1";"ºC"
"22/12/2023";"Lluvia";"0.0";"1";"L/m2"
"22/12/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"22/12/2023";"Temperatura media  atura a 1.5m";"6.98";"1";"ºC"
"23/12/2023";"Lluvia";"0.0";"1";"L/m2"
"23/12/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"23/12/2023";"Temperatura media  atura a 1.5m";"5.17";"1";"ºC"
"24/12/2023";"Lluvia";"0.0";"1";"L/m2"
"24/12/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"24/12/2023";"Temperatura media  atura a 1.5m";"4.14";"1";"ºC"
"25/12/2023";"Lluvia";"0.0";"1";"L/m2"
"25/12/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"25/12/2023";"Temperatura media  atura a 1.5m";"2.76";"1";"ºC"
"26/12/2023";"Lluvia";"0.0";"1";"L/m2"
"26/12/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"26/12/2023";"Temperatura media  atura a 1.5m";"4.26";"1";"ºC"
"27/12/2023";"Lluvia";"0.9";"1";"L/m2"
"27/12/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"27/12/2023";"Temperatura media  atura a 1.5m";"8.60";"1";"ºC"
"28/12/2023";"Lluvia";"5.7";"1";"L/m2"
"28/12/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"28/12/2023";"Temperatura media  atura a 1.5m";"10.89";"1";"ºC"
"29/12/2023";"Lluvia";"2.5";"1";"L/m2"
"29/12/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"29/12/2023";"Temperatura media  atura a 1.5m";"9.36";"1";"ºC"
"30/12/2023";"Lluvia";"6.8";"1";"L/m2"
"30/12/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"30/12/2023";"Temperatura media  atura a 1.5m";"8.90";"1";"ºC"
"31/12/2023";"Lluvia";"1.1";"1";"L/m2"
"31/12/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"31/12/2023";"Temperatura media  atura a 1.5m";"7.41";"1";"ºC"
"01/01/2024";"Lluvia";"0.0";"1";"L/m2"
"01/01/2024";"Humedad relativa media a 1.5m";"82";"1";"%"
"01/01/2024";"Temperatura media  atura a 1.5m";"7.68";"1";"ºC"
"02/01/2024";"Lluvia";"14.6";"1";"L/m2"
"02/01/2024";"Humedad relativa media a 1.5m";"87";"1";"%"
"02/01/2024";"Temperatura media  atura a 1.5m";"12.30";"1";"ºC"
"03/01/2024";"Lluvia";"0.6";"1";"L/m2"
"03/01/2024";"Humedad relativa media a 1.5m";"90";"1";"%"
"03/01/2024";"Temperatura media  atura a 1.5m";"9.91";"1";"ºC"
"04/01/2024";"Lluvia";"10.5";"1";"L/m2"
"04/01/2024";"Humedad relativa media a 1.5m";"93";"1";"%"
"04/01/2024";"Temperatura media  atura a 1.5m";"7.66";"1";"ºC"
"05/01/2024";"Lluvia";"17.6";"1";"L/m2"
"05/01/2024";"Humedad relativa media a 1.5m";"100";"1";"%"
"05/01/2024";"Temperatura media  atura a 1.5m";"4.49";"1";"ºC"
"06/01/2024";"Lluvia";"0.4";"1";"L/m2"
"06/01/2024";"Humedad relativa media a 1.5m";"97";"1";"%"
"06/01/2024";"Temperatura media  atura a 1.5m";"3.66";"1";"ºC"
"07/01/2024";"Lluvia";"0.3";"1";"L/m2"
"07/01/2024";"Humedad relativa media a 1.5m";"100";"1";"%"
"07/01/2024";"Temperatura media  atura a 1.5m";"2.20";"1";"ºC"
"08/01/2024";"Lluvia";"1.8";"1";"L/m2"
"08/01/2024";"Humedad relativa media a 1.5m";"100";"1";"%"
"08/01/2024";"Temperatura media  atura a 1.5m";"1.11";"1";"ºC"
"09/01/2024";"Lluvia";"1.0";"1";"L/m2"
"09/01/2024";"Humedad relativa media a 1.5m";"97";"1";"%"
"09/01/2024";"Temperatura media  atura a 1.5m";"5.41";"1";"ºC"
"10/01/2024";"Lluvia";"6.9";"1";"L/m2"
"10/01/2024";"Humedad relativa media a 1.5m";"100";"1";"%"
"10/01/2024";"Temperatura media  atura a 1.5m";"6.27";"1";"ºC"
"11/01/2024";"Lluvia";"0.0";"1";"L/m2"
"11/01/2024";"Humedad relativa media a 1.5m";"91";"1";"%"
"11/01/2024";"Temperatura media  atura a 1.5m";"3.43";"1";"ºC"
"12/01/2024";"Lluvia";"0.0";"1";"L/m2"
"12/01/2024";"Humedad relativa media a 1.5m";"85";"1";"%"
"12/01/2024";"Temperatura media  atura a 1.5m";"1.77";"1";"ºC"
"13/01/2024";"Lluvia";"0.7";"1";"L/m2"
"13/01/2024";"Humedad relativa media a 1.5m";"87";"1";"%"
"13/01/2024";"Temperatura media  atura a 1.5m";"7.47";"1";"ºC"
"14/01/2024";"Lluvia";"18.6";"1";"L/m2"
"14/01/2024";"Humedad relativa media a 1.5m";"100";"1";"%"
"14/01/2024";"Temperatura media  atura a 1.5m";"10.71";"1";"ºC"
"15/01/2024";"Lluvia";"13.8";"1";"L/m2"
"15/01/2024";"Humedad relativa media a 1.5m";"98";"1";"%"
"15/01/2024";"Temperatura media  atura a 1.5m";"12.51";"1";"ºC"
"16/01/2024";"Lluvia";"9.6";"1";"L/m2"
"16/01/2024";"Humedad relativa media a 1.5m";"94";"1";"%"
"16/01/2024";"Temperatura media  atura a 1.5m";"11.53";"1";"ºC"
"17/01/2024";"Lluvia";"26.9";"1";"L/m2"
"17/01/2024";"Humedad relativa media a 1.5m";"97";"1";"%"
"17/01/2024";"Temperatura media  atura a 1.5m";"11.56";"1";"ºC"
"18/01/2024";"Lluvia";"1.2";"1";"L/m2"
"18/01/2024";"Humedad relativa media a 1.5m";"93";"1";"%"
"18/01/2024";"Temperatura media  atura a 1.5m";"9.06";"1";"ºC"
"19/01/2024";"Lluvia";"0.0";"1";"L/m2"
"19/01/2024";"Humedad relativa media a 1.5m";"77";"1";"%"
"19/01/2024";"Temperatura media  atura a 1.5m";"5.33";"1";"ºC"
"20/01/2024";"Lluvia";"0.0";"1";"L/m2"
"20/01/2024";"Humedad relativa media a 1.5m";"78";"1";"%"
"20/01/2024";"Temperatura media  atura a 1.5m";"2.38";"1";"ºC"
"21/01/2024";"Lluvia";"0.0";"1";"L/m2"
"21/01/2024";"Humedad relativa media a 1.5m";"70";"1";"%"
"21/01/2024";"Temperatura media  atura a 1.5m";"9.32";"1";"ºC"
"22/01/2024";"Lluvia";"1.4";"1";"L/m2"
"22/01/2024";"Humedad relativa media a 1.5m";"91";"1";"%"
"22/01/2024";"Temperatura media  atura a 1.5m";"12.53";"1";"ºC"
"23/01/2024";"Lluvia";"0.0";"1";"L/m2"
"23/01/2024";"Humedad relativa media a 1.5m";"95";"1";"%"
"23/01/2024";"Temperatura media  atura a 1.5m";"12.77";"1";"ºC"
"24/01/2024";"Lluvia";"0.0";"1";"L/m2"
"24/01/2024";"Humedad relativa media a 1.5m";"89";"1";"%"
"24/01/2024";"Temperatura media  atura a 1.5m";"11.35";"1";"ºC"
"25/01/2024";"Lluvia";"0.0";"1";"L/m2"
"25/01/2024";"Humedad relativa media a 1.5m";"85";"1";"%"
"25/01/2024";"Temperatura media  atura a 1.5m";"9.91";"1";"ºC"
"26/01/2024";"Lluvia";"0.0";"1";"L/m2"
"26/01/2024";"Humedad relativa media a 1.5m";"92";"1";"%"
"26/01/2024";"Temperatura media  atura a 1.5m";"6.49";"1";"ºC"
"27/01/2024";"Lluvia";"0.0";"1";"L/m2"
"27/01/2024";"Humedad relativa media a 1.5m";"89";"1";"%"
"27/01/2024";"Temperatura media  atura a 1.5m";"8.14";"1";"ºC"
"28/01/2024";"Lluvia";"0.0";"1";"L/m2"
"28/01/2024";"Humedad relativa media a 1.5m";"79";"1";"%"
"28/01/2024";"Temperatura media  atura a 1.5m";"8.67";"1";"ºC"
"29/01/2024";"Lluvia";"0.0";"1";"L/m2"
"29/01/2024";"Humedad relativa media a 1.5m";"67";"1";"%"
"29/01/2024";"Temperatura media  atura a 1.5m";"11.84";"1";"ºC"
"30/01/2024";"Lluvia";"0.0";"1";"L/m2"
"30/01/2024";"Humedad relativa media a 1.5m";"89";"1";"%"
"30/01/2024";"Temperatura media  atura a 1.5m";"8.42";"1";"ºC"
"31/01/2024";"Lluvia";"0.0";"1";"L/m2"
"31/01/2024";"Humedad relativa media a 1.5m";"86";"1";"%"
"31/01/2024";"Temperatura media  atura a 1.5m";"8.43";"1";"ºC"
"01/02/2024";"Lluvia";"0.0";"1";"L/m2"
"01/02/2024";"Humedad relativa media a 1.5m";"96";"1";"%"
"01/02/2024";"Temperatura media  atura a 1.5m";"6.22";"1";"ºC"
"02/02/2024";"Lluvia";"0.0";"1";"L/m2"
"02/02/2024";"Humedad relativa media a 1.5m";"92";"1";"%"
"02/02/2024";"Temperatura media  atura a 1.5m";"8.02";"1";"ºC"
"03/02/2024";"Lluvia";"0.0";"1";"L/m2"
"03/02/2024";"Humedad relativa media a 1.5m";"90";"1";"%"
"03/02/2024";"Temperatura media  atura a 1.5m";"8.46";"1";"ºC"
"04/02/2024";"Lluvia";"0.0";"1";"L/m2"
"04/02/2024";"Humedad relativa media a 1.5m";"84";"1";"%"
"04/02/2024";"Temperatura media  atura a 1.5m";"7.87";"1";"ºC"
"05/02/2024";"Lluvia";"0.0";"1";"L/m2"
"05/02/2024";"Humedad relativa media a 1.5m";"87";"1";"%"
"05/02/2024";"Temperatura media  atura a 1.5m";"7.78";"1";"ºC"
"06/02/2024";"Lluvia";"0.0";"1";"L/m2"
"06/02/2024";"Humedad relativa media a 1.5m";"91";"1";"%"
"06/02/2024";"Temperatura media  atura a 1.5m";"8.77";"1";"ºC"
"07/02/2024";"Lluvia";"0.0";"1";"L/m2"
