Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Coruña-Torre de Hércules";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"15/02/2023";"Lluvia";"0.0";"1";"L/m2"
"15/02/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"15/02/2023";"Temperatura media  atura a 1.5m";"13.54";"1";"ºC"
"16/02/2023";"Lluvia";"0.0";"1";"L/m2"
"16/02/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"16/02/2023";"Temperatura media  atura a 1.5m";"12.28";"1";"ºC"
"17/02/2023";"Lluvia";"0.0";"1";"L/m2"
"17/02/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"17/02/2023";"Temperatura media  atura a 1.5m";"11.56";"1";"ºC"
"18/02/2023";"Lluvia";"0.0";"1";"L/m2"
"18/02/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"18/02/2023";"Temperatura media  atura a 1.5m";"12.33";"1";"ºC"
"19/02/2023";"Lluvia";"0.0";"1";"L/m2"
"19/02/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"19/02/2023";"Temperatura media  atura a 1.5m";"12.14";"1";"ºC"
"20/02/2023";"Lluvia";"0.0";"1";"L/m2"
"20/02/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"20/02/2023";"Temperatura media  atura a 1.5m";"14.14";"1";"ºC"
"21/02/2023";"Lluvia";"3.5";"1";"L/m2"
"21/02/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"21/02/2023";"Temperatura media  atura a 1.5m";"13.83";"1";"ºC"
"22/02/2023";"Lluvia";"4.2";"1";"L/m2"
"22/02/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"22/02/2023";"Temperatura media  atura a 1.5m";"10.87";"1";"ºC"
"23/02/2023";"Lluvia";"7.6";"1";"L/m2"
"23/02/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"23/02/2023";"Temperatura media  atura a 1.5m";"8.02";"1";"ºC"
"24/02/2023";"Lluvia";"10.6";"1";"L/m2"
"24/02/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"24/02/2023";"Temperatura media  atura a 1.5m";"6.42";"1";"ºC"
"25/02/2023";"Lluvia";"1.9";"1";"L/m2"
"25/02/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"25/02/2023";"Temperatura media  atura a 1.5m";"8.71";"1";"ºC"
"26/02/2023";"Lluvia";"0.0";"1";"L/m2"
"26/02/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"26/02/2023";"Temperatura media  atura a 1.5m";"9.35";"1";"ºC"
"27/02/2023";"Lluvia";"0.0";"1";"L/m2"
"27/02/2023";"Humedad relativa media a 1.5m";"55";"1";"%"
"27/02/2023";"Temperatura media  atura a 1.5m";"8.41";"1";"ºC"
"28/02/2023";"Lluvia";"0.0";"1";"L/m2"
"28/02/2023";"Humedad relativa media a 1.5m";"57";"1";"%"
"28/02/2023";"Temperatura media  atura a 1.5m";"8.79";"1";"ºC"
"01/03/2023";"Lluvia";"2.4";"1";"L/m2"
"01/03/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"01/03/2023";"Temperatura media  atura a 1.5m";"8.04";"1";"ºC"
"02/03/2023";"Lluvia";"0.0";"1";"L/m2"
"02/03/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"02/03/2023";"Temperatura media  atura a 1.5m";"7.94";"1";"ºC"
"03/03/2023";"Lluvia";"0.0";"1";"L/m2"
"03/03/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"03/03/2023";"Temperatura media  atura a 1.5m";"8.76";"1";"ºC"
"04/03/2023";"Lluvia";"0.0";"1";"L/m2"
"04/03/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"04/03/2023";"Temperatura media  atura a 1.5m";"10.38";"1";"ºC"
"05/03/2023";"Lluvia";"0.0";"1";"L/m2"
"05/03/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"05/03/2023";"Temperatura media  atura a 1.5m";"10.55";"1";"ºC"
"06/03/2023";"Lluvia";"0.4";"1";"L/m2"
"06/03/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"06/03/2023";"Temperatura media  atura a 1.5m";"11.44";"1";"ºC"
"07/03/2023";"Lluvia";"0.7";"1";"L/m2"
"07/03/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"07/03/2023";"Temperatura media  atura a 1.5m";"14.64";"1";"ºC"
"08/03/2023";"Lluvia";"4.0";"1";"L/m2"
"08/03/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"08/03/2023";"Temperatura media  atura a 1.5m";"16.61";"1";"ºC"
"09/03/2023";"Lluvia";"3.9";"1";"L/m2"
"09/03/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"09/03/2023";"Temperatura media  atura a 1.5m";"15.52";"1";"ºC"
"10/03/2023";"Lluvia";"0.0";"1";"L/m2"
"10/03/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"10/03/2023";"Temperatura media  atura a 1.5m";"16.64";"1";"ºC"
"11/03/2023";"Lluvia";"7.8";"1";"L/m2"
"11/03/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"11/03/2023";"Temperatura media  atura a 1.5m";"16.46";"1";"ºC"
"12/03/2023";"Lluvia";"2.3";"1";"L/m2"
"12/03/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"12/03/2023";"Temperatura media  atura a 1.5m";"17.03";"1";"ºC"
"13/03/2023";"Lluvia";"0.8";"1";"L/m2"
"13/03/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"13/03/2023";"Temperatura media  atura a 1.5m";"14.86";"1";"ºC"
"14/03/2023";"Lluvia";"1.1";"1";"L/m2"
"14/03/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"14/03/2023";"Temperatura media  atura a 1.5m";"13.91";"1";"ºC"
"15/03/2023";"Lluvia";"0.0";"1";"L/m2"
"15/03/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"15/03/2023";"Temperatura media  atura a 1.5m";"13.89";"1";"ºC"
"16/03/2023";"Lluvia";"1.1";"1";"L/m2"
"16/03/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"16/03/2023";"Temperatura media  atura a 1.5m";"13.59";"1";"ºC"
"17/03/2023";"Lluvia";"4.9";"1";"L/m2"
"17/03/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"17/03/2023";"Temperatura media  atura a 1.5m";"13.58";"1";"ºC"
"18/03/2023";"Lluvia";"6.1";"1";"L/m2"
"18/03/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"18/03/2023";"Temperatura media  atura a 1.5m";"13.26";"1";"ºC"
"19/03/2023";"Lluvia";"2.8";"1";"L/m2"
"19/03/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"19/03/2023";"Temperatura media  atura a 1.5m";"13.04";"1";"ºC"
"20/03/2023";"Lluvia";"0.0";"1";"L/m2"
"20/03/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"20/03/2023";"Temperatura media  atura a 1.5m";"13.57";"1";"ºC"
"21/03/2023";"Lluvia";"0.0";"1";"L/m2"
"21/03/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"21/03/2023";"Temperatura media  atura a 1.5m";"14.41";"1";"ºC"
"22/03/2023";"Lluvia";"0.0";"1";"L/m2"
"22/03/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"22/03/2023";"Temperatura media  atura a 1.5m";"14.96";"1";"ºC"
"23/03/2023";"Lluvia";"11.6";"1";"L/m2"
