Período de consulta de 01/01/2025 a 01/04/2025
"";"";"Santiago-EOAS";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"23/02/2025";"Temperatura media  atura a 1.5m";"10.21";"1";"ºC"
"24/02/2025";"Lluvia";"48.2";"1";"L/m2"
"24/02/2025";"Humedad relativa media a 1.5m";"95";"1";"%"
"24/02/2025";"Temperatura media  atura a 1.5m";"12.11";"1";"ºC"
"25/02/2025";"Lluvia";"0.0";"1";"L/m2"
"25/02/2025";"Humedad relativa media a 1.5m";"82";"1";"%"
"25/02/2025";"Temperatura media  atura a 1.5m";"9.60";"1";"ºC"
"26/02/2025";"Lluvia";"0.0";"1";"L/m2"
"26/02/2025";"Humedad relativa media a 1.5m";"80";"1";"%"
"26/02/2025";"Temperatura media  atura a 1.5m";"7.78";"1";"ºC"
"27/02/2025";"Lluvia";"0.0";"1";"L/m2"
"27/02/2025";"Humedad relativa media a 1.5m";"74";"1";"%"
"27/02/2025";"Temperatura media  atura a 1.5m";"10.10";"1";"ºC"
"28/02/2025";"Lluvia";"0.0";"1";"L/m2"
"28/02/2025";"Humedad relativa media a 1.5m";"70";"1";"%"
"28/02/2025";"Temperatura media  atura a 1.5m";"11.31";"1";"ºC"
"01/03/2025";"Lluvia";"0.0";"1";"L/m2"
"01/03/2025";"Humedad relativa media a 1.5m";"59";"1";"%"
"01/03/2025";"Temperatura media  atura a 1.5m";"9.17";"1";"ºC"
"02/03/2025";"Lluvia";"0.0";"1";"L/m2"
"02/03/2025";"Humedad relativa media a 1.5m";"61";"1";"%"
"02/03/2025";"Temperatura media  atura a 1.5m";"7.89";"1";"ºC"
"03/03/2025";"Lluvia";"0.0";"1";"L/m2"
"03/03/2025";"Humedad relativa media a 1.5m";"67";"1";"%"
"03/03/2025";"Temperatura media  atura a 1.5m";"10.38";"1";"ºC"
"04/03/2025";"Lluvia";"0.0";"1";"L/m2"
"04/03/2025";"Humedad relativa media a 1.5m";"75";"1";"%"
"04/03/2025";"Temperatura media  atura a 1.5m";"11.96";"1";"ºC"
"05/03/2025";"Lluvia";"3.7";"1";"L/m2"
"05/03/2025";"Humedad relativa media a 1.5m";"88";"1";"%"
"05/03/2025";"Temperatura media  atura a 1.5m";"11.14";"1";"ºC"
"06/03/2025";"Lluvia";"7.9";"1";"L/m2"
"06/03/2025";"Humedad relativa media a 1.5m";"93";"1";"%"
"06/03/2025";"Temperatura media  atura a 1.5m";"11.21";"1";"ºC"
"07/03/2025";"Lluvia";"8.7";"1";"L/m2"
"07/03/2025";"Humedad relativa media a 1.5m";"80";"1";"%"
"07/03/2025";"Temperatura media  atura a 1.5m";"11.49";"1";"ºC"
"08/03/2025";"Lluvia";"11.6";"1";"L/m2"
"08/03/2025";"Humedad relativa media a 1.5m";"82";"1";"%"
"08/03/2025";"Temperatura media  atura a 1.5m";"8.84";"1";"ºC"
"09/03/2025";"Lluvia";"11.1";"1";"L/m2"
"09/03/2025";"Humedad relativa media a 1.5m";"81";"1";"%"
"09/03/2025";"Temperatura media  atura a 1.5m";"9.22";"1";"ºC"
"10/03/2025";"Lluvia";"10.8";"1";"L/m2"
"10/03/2025";"Humedad relativa media a 1.5m";"84";"1";"%"
"10/03/2025";"Temperatura media  atura a 1.5m";"8.65";"1";"ºC"
"11/03/2025";"Lluvia";"0.0";"1";"L/m2"
"11/03/2025";"Humedad relativa media a 1.5m";"79";"1";"%"
"11/03/2025";"Temperatura media  atura a 1.5m";"10.39";"1";"ºC"
"12/03/2025";"Lluvia";"0.0";"1";"L/m2"
"12/03/2025";"Humedad relativa media a 1.5m";"87";"1";"%"
"12/03/2025";"Temperatura media  atura a 1.5m";"8.34";"1";"ºC"
"13/03/2025";"Lluvia";"0.0";"1";"L/m2"
"13/03/2025";"Humedad relativa media a 1.5m";"73";"1";"%"
"13/03/2025";"Temperatura media  atura a 1.5m";"8.12";"1";"ºC"
"14/03/2025";"Lluvia";"0.0";"1";"L/m2"
"14/03/2025";"Humedad relativa media a 1.5m";"70";"1";"%"
"14/03/2025";"Temperatura media  atura a 1.5m";"6.88";"1";"ºC"
"15/03/2025";"Lluvia";"0.0";"1";"L/m2"
"15/03/2025";"Humedad relativa media a 1.5m";"64";"1";"%"
"15/03/2025";"Temperatura media  atura a 1.5m";"8.08";"1";"ºC"
"16/03/2025";"Lluvia";"0.0";"1";"L/m2"
"16/03/2025";"Humedad relativa media a 1.5m";"62";"1";"%"
"16/03/2025";"Temperatura media  atura a 1.5m";"7.29";"1";"ºC"
"17/03/2025";"Lluvia";"0.0";"1";"L/m2"
"17/03/2025";"Humedad relativa media a 1.5m";"66";"1";"%"
"17/03/2025";"Temperatura media  atura a 1.5m";"9.02";"1";"ºC"
"18/03/2025";"Lluvia";"0.6";"1";"L/m2"
"18/03/2025";"Humedad relativa media a 1.5m";"77";"1";"%"
"18/03/2025";"Temperatura media  atura a 1.5m";"11.09";"1";"ºC"
"19/03/2025";"Lluvia";"0.0";"1";"L/m2"
"19/03/2025";"Humedad relativa media a 1.5m";"60";"1";"%"
"19/03/2025";"Temperatura media  atura a 1.5m";"14.60";"1";"ºC"
"20/03/2025";"Lluvia";"2.2";"1";"L/m2"
"20/03/2025";"Humedad relativa media a 1.5m";"61";"1";"%"
"20/03/2025";"Temperatura media  atura a 1.5m";"13.64";"1";"ºC"
"21/03/2025";"Lluvia";"36.3";"1";"L/m2"
"21/03/2025";"Humedad relativa media a 1.5m";"95";"1";"%"
"21/03/2025";"Temperatura media  atura a 1.5m";"9.99";"1";"ºC"
"22/03/2025";"Lluvia";"17.6";"1";"L/m2"
"22/03/2025";"Humedad relativa media a 1.5m";"90";"1";"%"
"22/03/2025";"Temperatura media  atura a 1.5m";"7.99";"1";"ºC"
"23/03/2025";"Lluvia";"1.5";"1";"L/m2"
"23/03/2025";"Humedad relativa media a 1.5m";"88";"1";"%"
"23/03/2025";"Temperatura media  atura a 1.5m";"6.80";"1";"ºC"
"24/03/2025";"Lluvia";"1.0";"1";"L/m2"
"24/03/2025";"Humedad relativa media a 1.5m";"89";"1";"%"
"24/03/2025";"Temperatura media  atura a 1.5m";"9.30";"1";"ºC"
"25/03/2025";"Lluvia";"0.0";"1";"L/m2"
"25/03/2025";"Humedad relativa media a 1.5m";"80";"1";"%"
"25/03/2025";"Temperatura media  atura a 1.5m";"11.32";"1";"ºC"
"26/03/2025";"Lluvia";"0.0";"1";"L/m2"
"26/03/2025";"Humedad relativa media a 1.5m";"78";"1";"%"
"26/03/2025";"Temperatura media  atura a 1.5m";"10.62";"1";"ºC"
"27/03/2025";"Lluvia";"0.0";"1";"L/m2"
"27/03/2025";"Humedad relativa media a 1.5m";"75";"1";"%"
"27/03/2025";"Temperatura media  atura a 1.5m";"11.34";"1";"ºC"
"28/03/2025";"Lluvia";"0.0";"1";"L/m2"
"28/03/2025";"Humedad relativa media a 1.5m";"78";"1";"%"
"28/03/2025";"Temperatura media  atura a 1.5m";"10.72";"1";"ºC"
"29/03/2025";"Lluvia";"0.0";"1";"L/m2"
"29/03/2025";"Humedad relativa media a 1.5m";"73";"1";"%"
"29/03/2025";"Temperatura media  atura a 1.5m";"11.74";"1";"ºC"
"30/03/2025";"Lluvia";"0.0";"1";"L/m2"
"30/03/2025";"Humedad relativa media a 1.5m";"58";"1";"%"
"30/03/2025";"Temperatura media  atura a 1.5m";"14.04";"1";"ºC"
"31/03/2025";"Lluvia";"0.0";"1";"L/m2"
"31/03/2025";"Humedad relativa media a 1.5m";"53";"1";"%"
"31/03/2025";"Temperatura media  atura a 1.5m";"17.21";"1";"ºC"
"01/04/2025";"Lluvia";"0.0";"1";"L/m2"
"01/04/2025";"Humedad relativa media a 1.5m";"71";"1";"%"
"01/04/2025";"Temperatura media  atura a 1.5m";"14.28";"1";"ºC"
